Nom;Molecule;Dosage;Unite;Forme;Presentation;PPV;Remboursement
URO / EAU POUR IRRIGATION;EAU POUR PREPARATION INJECTABLE;3000;ML;SOLUTION POUR IRRIGATION;1 POCHE 3 L; 95,00   ;0%
ELOXATINE 5 MG/ML;OXALIPLATINE;200;MG;SOLUTION A DILUER POUR PERFUSION;1 BOITE 1 FLACON 40 ML; 2 882,00   ;70%
ELOXATINE 5 MG/ML;OXALIPLATINE;200;MG;SOLUTION A DILUER POUR PERFUSION;1 BOITE 1 FLACON 40 ML; 2 882,00   ;70%
VIVALAN;VILOXAZINE;100;MG;COMPRIME PELLICULE;1 BOITE 20 COMPRIME; 60,70   ;0%
ZADRYL;CETIRIZINE;1;MG;SOLUTION BUVABLE;1 FLACON 60 ML; 31,90   ;70%
MYNAZOL;FLUCONAZOLE;50;MG;GELULE;1 BOITE 7 GELULE; 87,00   ;70%
ALFACEFAL 125 MG/5 ML;CEFACLOR;1.5;G;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 45,00   ;0%
NOCAND 50 MG;FLUCONAZOLE;50;MG;GELULE;1 BOITE 7 GELULE; 35,00   ;70%
MEDIATOR;BENFLUOREX;150;MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME; 60,00   ;0%
GASTROLIBER;LANSOPRAZOLE;30;MG;GELULE GASTRO-RESISTANTE;1 BOITE 15 GELULE GASTRO-RESISTANTE; 75,00   ;70%
CLOFENE;DICLOFENAC;25;MG;COMPRIME ENROBE GASTRO-RESISTANT;1 BOITE 20 COMPRIME; 20,50   ;70%
ZELDOX;ZIPRASIDONE;40;MG;GELULE;1 BOITE 14 GELULE; 318,00   ;70%
TRIFLUCAN;FLUCONAZOLE;2;MG;SOLUTION POUR PERFUSION;1 FLACON 50 ML; 144,30   ;70%
AVT;ACIDE ACETYLSALICYLIQUE / THIAMINE (VITAMINE B1);600 / 5;MG / MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 10,50   ;0%
KLONOPIN;CLONAZEPAM;2;MG;COMPRIME QUADRISECABLE;1 BOITE 40 COMPRIME; 41,20   ;70%
HYDROXO 5000;HYDROXOCOBALAMINE;5000;µG;SOLUTION INJECTABLE;1 BOITE 4 AMPOULE; 58,50   ;0%
DISPAMOX;AMOXICILLINE;500;MG;COMPRIME DISPERSIBLE;1 BOITE 12 COMPRIME; 34,60   ;70%
MUSARIL;TETRAZEPAM;50;MG;COMPRIME ENROBE;1 BOITE 20 COMPRIME; 51,80   ;0%
PRETERAX;INDAPAMIDE / PERINDOPRIL;0.625 / 2;MG / MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 239,00   ;70%
CLAFORAN;CEFOTAXIME;1;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 69,00   ;70%
RHINOFEBRAL;PARACETAMOL / CHLORPHENAMINE;240 / 3.2;MG / MG;GELULE;1 BOITE 20 GELULE; 14,30   ;0%
RIFASONE;RIFAMYCINE / PREDNISOLONE;0.25 / 1;G / G;POMMADE;1 TUBE 5 G; 12,00   ;0%
FLUIBRON;AMBROXOL;0.3;%;SOLUTION BUVABLE;1 FLACON 200 ML; 38,85   ;0%
AMOXIL;AMOXICILLINE;500;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 38,90   ;70%
BENCLAMID;GLIBENCLAMIDE;5;MG;COMPRIME;1 BOITE 60 COMPRIME; 36,20   ;70%
UNASYN;AMPICILLINE / SULBACTAM;1 / 0.5;G / G;POUDRE POUR SOLUTION INJECTABLE;1 FLACON 3.2 ML; 42,00   ;70%
LASILIX;FUROSEMIDE;20;MG;SOLUTION INJECTABLE;1 AMPOULE 2 ML; 7,40   ;70%
DILATOR;SALBUTAMOL;2.5;MG;SOLUTION POUR INHALATION PAR NEBULISEUR;1 BOITE 10 RECIPIENT; 41,20   ;70%
DILATOR;SALBUTAMOL;2.5;MG;SOLUTION POUR INHALATION PAR NEBULISEUR;1 BOITE 10 RECIPIENT; 41,20   ;70%
FORMOFTIL;FORMOCORTAL;0.05;%;COLLYRE;1 FLACON .5 ML; 17,80   ;0%
GENTAGAM 120;GENTAMICINE;120;MG;SOLUTION INJECTABLE;1 BOITE 1 AMPOULE INJECTABLE; 15,80   ;70%
UMILINE PROFIL 30 PEN;INSULINE HUMAINE;100;UI;SUSPENSION INJECTABLE INTERMEDIAIRE;1 CARTOUCHE 3 ML; 104,00   ;70%
BIRODOGYL;SPIRAMYCINE / METRONIDAZOLE;1.5 / 250;MUI / MG;COMPRIME PELLICULE;1 BOITE 15 COMPRIME; 102,00   ;70%
GLEMA;GLIMEPIRIDE;2;MG;COMPRIME;1 BOITE 30 COMPRIME; 40,00   ;70%
SALAZOPYRIN;SULFASALAZINE;500;MG;COMPRIME ENROBE GASTRO-RESISTANT;1 BOITE 100 COMPRIME GASTRO-RESISTANT; 141,70   ;70%
XANTHIUM LP;THEOPHYLLINE;300;MG;GELULE LP;1 BOITE 60 GELULE; 51,50   ;70%
AIRLIX;CETIRIZINE;1;MG;SOLUTION BUVABLE;1 FLACON 60 ML; 31,90   ;70%
GYNOMYK;BUTOCONAZOLE;100;MG;OVULE;1 BOITE 3 OVULE; 62,20   ;0%
AVASTIN;BEVACIZUMAB;100;MG;SOLUTION A DILUER POUR PERFUSION;1 BOITE 1 FLACON; 3 983,00   ;70%
